Time,Labeling
242.7,1.986282
242.7167,1.986282
242.7333,1.986282
242.75,1.986282
242.7667,1.986282
242.7833,1.989026
242.8,1.989026
242.8167,1.989026
242.8333,1.989026
242.85,1.989026
242.8667,1.989026
242.8833,1.989026
242.9,1.989026
242.9167,1.989026
242.9333,1.989026
242.95,1.989026
242.9667,1.989026
242.9833,1.989026
243,1.989026
243.0167,1.989026
243.0333,1.989026
243.05,1.989026
243.0667,1.989026
243.0833,1.989026
243.1,1.989026
243.1167,1.989026
243.1333,1.989026
243.15,1.989026
243.1667,1.989026
243.1833,1.989026
243.2,1.989026
243.2167,1.989026
243.2333,1.989026
243.25,1.989026
243.2667,1.989026
243.2833,1.989026
243.3,1.989026
243.3167,1.989026
243.3333,1.989026
243.35,1.989026
243.3667,1.989026
243.3833,1.989026
243.4,1.989026
243.4167,1.989026
243.4333,1.989026
243.45,1.989026
243.4667,1.989026
243.4833,1.989026
243.5,1.989026
243.5167,1.989026
243.5333,1.989026
243.55,1.989026
243.5667,1.989026
243.5833,1.989026
243.6,1.989026
243.6167,1.989026
243.6333,1.989026
243.65,1.989026
243.6667,1.989026
243.6833,1.989026
243.7,1.989026
243.7167,1.989026
243.7333,1.989026
243.75,1.989026
243.7667,1.989026
243.7833,1.989026
243.8,1.989026
243.8167,1.989026
243.8333,1.989026
243.85,1.989026
243.8667,1.989026
243.8833,1.989026
243.9,1.989026
243.9167,1.989026
243.9333,1.989026
243.95,1.989026
243.9667,1.989026
243.9833,1.989026
244,1.989026
244.0167,1.989026
244.0333,1.989026
244.05,1.989026
244.0667,1.989026
244.0833,1.989026
244.1,1.989026
244.1167,1.989026
244.1333,1.989026
244.15,1.989026
244.1667,1.989026
244.1833,1.989026
244.2,1.989026
244.2167,1.989026
244.2333,1.989026
244.25,1.989026
244.2667,1.989026
244.2833,1.989026
244.3,1.989026
244.3167,1.989026
244.3333,1.989026
244.35,1.989026
244.3667,1.989026
244.3833,1.989026
244.4,1.989026
244.4167,1.989026
244.4333,1.989026
244.45,1.991769
244.4667,1.991769
244.4833,1.991769
244.5,1.991769
244.5167,1.991769
244.5333,1.991769
244.55,1.991769
244.5667,1.991769
244.5833,1.991769
244.6,1.991769
244.6167,1.991769
244.6333,1.991769
244.65,1.991769
244.6667,1.991769
244.6833,1.991769
244.7,1.991769
244.7167,1.991769
244.7333,1.991769
244.75,1.991769
244.7667,1.991769
244.7833,1.991769
244.8,1.991769
244.8167,1.991769
244.8333,1.991769
244.85,1.991769
244.8667,1.991769
244.8833,1.991769
244.9,1.991769
244.9167,1.991769
244.9333,1.991769
244.95,1.991769
244.9667,1.991769
244.9833,1.991769
245,1.991769
245.0167,1.991769
245.0333,1.991769
245.05,1.991769
245.0667,1.991769
245.0833,1.991769
245.1,1.991769
245.1167,1.994513
245.1333,1.994513
245.15,1.994513
245.1667,1.994513
245.1833,1.994513
245.2,1.994513
245.2167,1.994513
245.2333,1.994513
245.25,1.994513
245.2667,1.994513
245.2833,1.994513
245.3,1.994513
245.3167,1.994513
245.3333,1.994513
245.35,1.994513
245.3667,1.994513
245.3833,1.994513
245.4,1.994513
245.4167,1.994513
245.4333,1.994513
245.45,1.994513
245.4667,1.994513
245.4833,1.994513
245.5,1.994513
245.5167,1.994513
245.5333,1.994513
245.55,1.994513
245.5667,1.994513
245.5833,1.994513
245.6,1.994513
245.6167,1.994513
245.6333,1.994513
245.65,1.994513
245.6667,1.994513
245.6833,1.994513
245.7,1.994513
245.7167,1.994513
245.7333,1.994513
245.75,1.994513
245.7667,1.994513
245.7833,1.994513
245.8,1.994513
245.8167,1.994513
245.8333,1.994513
245.85,1.994513
245.8667,1.994513
245.8833,1.994513
245.9,1.994513
245.9167,1.994513
245.9333,1.994513
245.95,1.994513
245.9667,1.994513
245.9833,1.994513
246,1.994513
246.0167,1.994513
246.0333,1.994513
246.05,1.994513
246.0667,1.994513
246.0833,1.994513
246.1,1.994513
246.1167,1.994513
246.1333,1.994513
246.15,1.994513
246.1667,1.994513
246.1833,1.994513
246.2,1.994513
246.2167,1.994513
246.2333,1.994513
246.25,1.994513
246.2667,1.994513
246.2833,1.994513
246.3,1.994513
246.3167,1.994513
246.3333,1.994513
246.35,1.994513
246.3667,1.994513
246.3833,1.994513
246.4,1.994513
246.4167,1.994513
246.4333,1.994513
246.45,1.994513
246.4667,1.994513
246.4833,1.994513
246.5,1.994513
246.5167,1.994513
246.5333,1.994513
246.55,1.994513
246.5667,1.994513
246.5833,1.994513
246.6,1.994513
246.6167,1.997256
246.6333,1.997256
246.65,1.997256
246.6667,1.997256
246.6833,1.997256
246.7,1.997256
246.7167,1.997256
246.7333,1.997256
246.75,1.997256
246.7667,1.997256
246.7833,1.997256
246.8,1.997256
246.8167,1.997256
246.8333,1.997256
246.85,1.997256
246.8667,1.997256
246.8833,1.997256
246.9,1.997256
246.9167,1.997256
246.9333,1.997256
246.95,1.997256
246.9667,1.997256
246.9833,1.997256
247,1.997256
247.0167,1.997256
247.0333,1.997256
247.05,1.997256
247.0667,1.997256
247.0833,1.997256
247.1,1.997256
247.1167,1.997256
247.1333,1.997256
247.15,1.997256
247.1667,1.997256
247.1833,1.997256
247.2,1.997256
247.2167,1.997256
247.2333,1.997256
247.25,1.997256
247.2667,1.997256
247.2833,1.997256
247.3,1.997256
247.3167,1.997256
247.3333,1.997256
247.35,1.997256
247.3667,1.997256
247.3833,1.997256
247.4,1.997256
247.4167,1.997256
247.4333,1.997256
247.45,1.997256
247.4667,1.997256
247.4833,1.997256
247.5,1.997256
247.5167,1.997256
247.5333,1.997256
247.55,1.997256
247.5667,1.997256
247.5833,1.997256
247.6,1.997256
247.6167,1.997256
247.6333,1.997256
247.65,1.997256
247.6667,1.997256
247.6833,1.997256
247.7,1.997256
247.7167,1.997256
247.7333,1.997256
247.75,1.997256
247.7667,1.997256
247.7833,1.997256
247.8,1.997256
247.8167,1.997256
247.8333,1.997256
247.85,1.997256
247.8667,1.997256
247.8833,2
247.9,2
247.9167,2
247.9333,2
247.95,2
247.9667,2
247.9833,2
248,2
248.0167,2
248.0333,2
248.05,2
248.0667,2
248.0833,2
248.1,2
248.1167,2
248.1333,2
248.15,2
248.1667,2
248.1833,2
248.2,2
248.2167,2
248.2333,2
248.25,2
248.2667,2
248.2833,2
248.3,2
248.3167,2
248.3333,2
248.35,2
248.3667,2
248.3833,2
248.4,2
248.4167,2
