Time,Labeling
147.8833,1.898491
147.9,1.898491
147.9167,1.898491
147.9333,1.898491
147.95,1.898491
147.9667,1.898491
147.9833,1.898491
148,1.898491
148.0167,1.898491
148.0333,1.898491
148.05,1.898491
148.0667,1.898491
148.0833,1.898491
148.1,1.898491
148.1167,1.898491
148.1333,1.898491
148.15,1.898491
148.1667,1.898491
148.1833,1.898491
148.2,1.898491
148.2167,1.898491
148.2333,1.898491
148.25,1.898491
148.2667,1.898491
148.2833,1.898491
148.3,1.898491
148.3167,1.898491
148.3333,1.898491
148.35,1.898491
148.3667,1.898491
148.3833,1.898491
148.4,1.898491
148.4167,1.898491
148.4333,1.898491
148.45,1.898491
148.4667,1.898491
148.4833,1.898491
148.5,1.898491
148.5167,1.898491
148.5333,1.898491
148.55,1.898491
148.5667,1.898491
148.5833,1.898491
148.6,1.898491
148.6167,1.898491
148.6333,1.898491
148.65,1.898491
148.6667,1.898491
148.6833,1.898491
148.7,1.898491
148.7167,1.898491
148.7333,1.898491
148.75,1.898491
148.7667,1.898491
148.7833,1.898491
148.8,1.898491
148.8167,1.898491
148.8333,1.898491
148.85,1.898491
148.8667,1.898491
148.8833,1.898491
148.9,1.898491
148.9167,1.898491
148.9333,1.898491
148.95,1.898491
148.9667,1.898491
148.9833,1.898491
149,1.898491
149.0167,1.898491
149.0333,1.898491
149.05,1.898491
149.0667,1.898491
149.0833,1.898491
149.1,1.898491
149.1167,1.898491
149.1333,1.898491
149.15,1.898491
149.1667,1.898491
149.1833,1.898491
149.2,1.898491
149.2167,1.898491
149.2333,1.898491
149.25,1.898491
149.2667,1.898491
149.2833,1.898491
149.3,1.898491
149.3167,1.898491
149.3333,1.898491
149.35,1.898491
149.3667,1.898491
149.3833,1.898491
149.4,1.898491
149.4167,1.898491
149.4333,1.898491
149.45,1.898491
149.4667,1.898491
149.4833,1.898491
149.5,1.898491
149.5167,1.898491
149.5333,1.898491
149.55,1.898491
149.5667,1.898491
149.5833,1.898491
149.6,1.898491
149.6167,1.898491
149.6333,1.898491
149.65,1.898491
149.6667,1.898491
149.6833,1.898491
149.7,1.898491
149.7167,1.898491
149.7333,1.898491
149.75,1.898491
149.7667,1.898491
149.7833,1.898491
149.8,1.898491
149.8167,1.898491
149.8333,1.898491
149.85,1.898491
149.8667,1.898491
149.8833,1.898491
149.9,1.898491
149.9167,1.898491
149.9333,1.898491
149.95,1.898491
149.9667,1.898491
149.9833,1.898491
150,1.898491
150.0167,1.898491
150.0333,1.898491
150.05,1.898491
150.0667,1.898491
150.0833,1.898491
150.1,1.898491
150.1167,1.898491
150.1333,1.898491
150.15,1.898491
150.1667,1.898491
150.1833,1.898491
150.2,1.898491
150.2167,1.898491
150.2333,1.898491
150.25,1.898491
150.2667,1.898491
150.2833,1.898491
150.3,1.898491
150.3167,1.898491
150.3333,1.898491
150.35,1.898491
150.3667,1.898491
150.3833,1.898491
150.4,1.898491
150.4167,1.898491
150.4333,1.898491
150.45,1.898491
150.4667,1.898491
150.4833,1.898491
150.5,1.898491
150.5167,1.898491
150.5333,1.898491
150.55,1.898491
150.5667,1.898491
150.5833,1.898491
150.6,1.898491
150.6167,1.898491
150.6333,1.898491
150.65,1.898491
150.6667,1.898491
150.6833,1.898491
150.7,1.898491
150.7167,1.898491
150.7333,1.898491
150.75,1.898491
150.7667,1.898491
150.7833,1.898491
150.8,1.898491
150.8167,1.898491
150.8333,1.898491
150.85,1.898491
150.8667,1.898491
150.8833,1.898491
150.9,1.898491
150.9167,1.898491
